season,player_id,player,position,adp_half_ppr,adp_pos_rank,p_clear_5_games,conditional_games,conditional_half_ppr_per_game,lightgbm_hurdle_raw,extra_trees_hurdle_raw,direct_half_ppr_raw,ridge_hurdle_raw,calibrated_affine_half_ppr,calibration_train_rows,calibration_slope,projected_half_ppr,projected_pos_rank,v6_direct_half_ppr_raw,sleeper_half_ppr_raw
2026,00-0034857,Josh Allen,QB,24.2,1.0,0.9805069770797902,15.94854388620872,20.29218353866868,317.32223750681976,306.7816916425488,328.8560526921078,329.8202816190628,310.92733059982777,144,0.7348254645154522,310.92733059982777,1,317.97473692281045,361.5
2026,00-0039851,Drake Maye,QB,48.9,3.0,0.9857366864992686,15.520518574920874,18.591108771087864,284.4280604855683,303.0278033865567,290.9616289442587,255.6306519049096,283.0815430667692,144,0.7348254645154522,283.0815430667692,2,281.0288385923449,320.76
2026,00-0036389,Jalen Hurts,QB,68.4,6.0,0.9842957407650339,14.81987334030905,19.561614996738815,285.34798152018413,276.5013718355623,288.50028290655666,281.61177827048033,281.2728833212815,144,0.7348254645154522,281.2728833212815,3,281.15371054207554,310.54
2026,00-0039918,Caleb Williams,QB,90.9,9.0,0.9868699823356145,15.898347438739949,19.409144145341994,304.5217440068039,286.8089880038802,287.5863397382659,259.67462694237963,280.6012946081015,144,0.7348254645154522,280.6012946081015,4,283.6684529843546,299.34
2026,00-0034796,Lamar Jackson,QB,39.6,2.0,0.9408947896207506,15.156933402318572,21.283732031594464,303.5289980683196,255.97260522328386,286.4896080700827,266.45682898872735,279.79538825058,144,0.7348254645154522,279.79538825058,5,275.3194774267769,320.0
2026,00-0033873,Patrick Mahomes,QB,101.0,12.0,0.8872377022651046,14.483723409021362,21.009284743925036,269.9799286835992,291.014102951943,279.8391156546918,279.7424309832249,274.9084370721839,144,0.7348254645154522,274.9084370721839,6,280.245487539589,278.62
2026,00-0039732,Bo Nix,QB,120.1,15.0,0.9849487196359608,15.605628986928568,17.71242409509949,272.25314151807385,290.03612766601253,270.5763997476854,224.29632980665525,268.1019575531433,144,0.7348254645154522,268.1019575531433,7,262.1951996635805,295.72
2026,00-0036355,Justin Herbert,QB,85.7,8.0,0.9823431380978717,15.158030981208439,18.14483352517357,270.1836063312721,250.9656332561167,259.30293419094363,212.76249717638564,259.8179279887115,144,0.7348254645154522,259.8179279887115,8,244.6372455879248,303.3
2026,00-0037834,Brock Purdy,QB,105.8,13.0,0.9635010056399469,15.510940298670901,20.392557337146354,304.7628249975285,235.7119125611998,257.11651117782,192.33130715255155,258.2112886824657,144,0.7348254645154522,258.2112886824657,9,244.2686815704266,295.66
2026,00-0033106,Jared Goff,QB,131.4,17.0,0.9863930850914888,14.449034110505583,17.68858062788646,252.10521002027644,261.75256560590765,252.30283434517548,211.89356175451786,254.67407636789042,144,0.7348254645154522,254.67407636789042,10,241.91711246023397,283.46
2026,00-0036442,Joe Burrow,QB,58.2,4.0,0.9356823125214621,14.560418562326912,17.888832707830602,243.71613503566118,252.3076557737941,249.6110862722699,196.30055427962432,252.696111339859,144,0.7348254645154522,252.696111339859,11,230.77478169635984,306.12
2026,00-0036971,Trevor Lawrence,QB,93.8,10.0,0.9746851651223084,11.860275288009683,16.8259983082788,194.5091188792873,211.0049802734891,242.79193888367837,262.23365638193695,247.6852281924379,144,0.7348254645154522,247.6852281924379,12,222.5825851782378,303.42
2026,00-0040691,Jaxson Dart,QB,82.8,7.0,0.9135481718238375,13.5918142494528,17.880787601344235,222.0217532916024,229.6115324617582,241.96312243259672,215.67920397702622,247.07619275877377,144,0.7348254645154522,247.07619275877377,13,222.4374965767956,300.54
2026,00-0039910,Jayden Daniels,QB,64.1,5.0,0.882739012785002,12.622205287231546,19.404830901451582,216.21081931778758,204.38349678305596,237.6666093123583,216.35212114858965,243.91900550939783,144,0.7348254645154522,243.91900550939783,14,212.3154790831444,313.72
2026,00-0034855,Baker Mayfield,QB,142.2,19.0,0.9299344443677378,13.619278790925106,18.47203579551078,233.94900675057806,245.22536827356822,234.65395407737228,184.5614412853428,241.70522972692433,144,0.7348254645154522,241.70522972692433,15,221.24527210316305,274.88
2026,00-0036264,Jordan Love,QB,126.2,16.0,0.9405089722843158,13.622793662738621,15.85536134541061,203.14459221373173,201.22479427394126,220.48119256505146,195.03538377253295,231.29072366516647,144,0.7348254645154522,231.29072366516647,16,199.80159008673527,282.52
2026,00-0033077,Dak Prescott,QB,97.8,11.0,0.9813045608985977,11.872586091085173,17.507559611635884,203.9739745990502,204.39762557259667,220.26622316636968,168.81329249383194,231.13275867692352,144,0.7348254645154522,231.13275867692352,17,192.39496422182626,303.88
2026,00-0026498,Matthew Stafford,QB,116.7,14.0,0.9770924291018964,13.888670662734825,16.123344562798476,218.80208851162095,223.02975905806323,217.09930822444878,146.3453853281109,228.80562893364555,144,0.7348254645154522,228.80562893364555,18,196.05907763259836,280.22
2026,00-0034869,Sam Darnold,QB,167.8,23.0,0.9886252112698858,14.042452699549639,16.006363924755956,222.2119128725302,225.69384768292176,212.58612169043246,139.6987262062779,225.48922454234213,144,0.7348254645154522,225.48922454234213,19,195.86816225390996,262.74
2026,00-0039163,C.J. Stroud,QB,165.6,22.0,0.9680428849216413,12.988855263621076,12.955543148736355,162.90000580117575,187.3410188652821,193.84742420249103,190.9486721435062,211.71955245635104,144,0.7348254645154522,211.71955245635104,20,180.39656560332136,234.2
2026,00-0040743,Tyler Shough,QB,146.4,20.0,0.6951896780336576,11.956103448253993,16.485813924529342,137.0261239105315,180.19835226843435,175.21868311256833,123.65025627130744,198.0306791316105,144,0.7348254645154522,198.0306791316105,21,146.9582441500911,260.0
2026,00-0035228,Kyler Murray,QB,153.2,21.0,0.5513385847871161,10.230479963023823,13.347334647488742,75.28508508934863,120.96511621930073,147.3879990392798,128.10179484846986,177.57998377967346,144,0.7348254645154522,177.57998377967346,22,108.11733205237307,265.2
2026,00-0038128,Malik Willis,QB,139.7,18.0,0.7462230935904166,11.03271080376688,12.534291936634242,103.19311566987429,135.60092002261155,138.59773036926714,62.81688578458271,171.12067052101577,144,0.7348254645154522,171.12067052101577,23,100.53697382568951,252.78
