season,week,player_id,player_display_name,position,team,opponent_team,lambda,p_ge1,p_ge2,p_book,n_books,fair_amer,book_amer,sleeper_half_ppr,scoring_tds,scored_anytime
2025,16,00-0034844,Saquon Barkley,RB,PHI,WAS,1.1033026475614403,0.6682264587791584,0.3021798323593693,0.5555555555555556,8.0,-201,-125,15.87,1.0,1
2025,16,00-0032764,Derrick Henry,RB,BAL,NE,1.0396745109195922,0.646430253676742,0.27883280059214444,0.5942386831275721,8.0,-183,-146,14.99,2.0,1
2025,16,00-0037248,James Cook,RB,BUF,CLE,1.0042189406163633,0.6336693509166131,0.2657931745787895,0.5670914542728636,8.0,-173,-131,17.76,2.0,1
2025,16,00-0039139,Jahmyr Gibbs,RB,DET,PIT,0.8572313159926823,0.5756646921965727,0.2119111778660806,0.7296803652968036,8.0,-136,-270,21.97,1.0,1
2025,16,00-0039361,Bucky Irving,RB,TB,CAR,0.8257853962291747,0.5621090605189814,0.20050511755448286,0.39607843137254906,8.0,-128,152,14.76,0.0,0
2025,16,00-0033280,Christian McCaffrey,RB,SF,IND,0.8212465354953786,0.560117017144241,0.19886464145057592,0.6666666666666666,8.0,-127,-200,19.04,2.0,1
2025,16,00-0040666,Omarion Hampton,RB,LAC,DAL,0.7971622235290866,0.5493941297905823,0.19018815235918396,0.48780487804878053,8.0,-122,105,12.41,1.0,1
2025,16,00-0038542,Bijan Robinson,RB,ATL,ARI,0.7662174853035693,0.5352322615124466,0.1791190936782866,0.6799795186891961,8.0,-115,-212,21.57,1.0,1
2025,16,00-0038597,Chase Brown,RB,CIN,MIA,0.6619595738612297,0.484160482184981,0.14269557479136885,0.5,8.0,107,100,12.08,3.0,1
2025,16,00-0039040,De'Von Achane,RB,MIA,CIN,0.6608318662160176,0.48357843789082167,0.1423106132480223,0.6632996632996633,7.0,107,-197,17.59,1.0,1
2025,16,00-0036223,Jonathan Taylor,RB,IND,SF,0.6576648257280407,0.48194031726680286,0.14123068630535074,0.7122153209109732,8.0,107,-247,21.67,1.0,1
2025,16,00-0036963,Amon-Ra St. Brown,WR,DET,PIT,0.6557886158289059,0.4809674161637735,0.1405917564397139,0.5348837209302326,7.0,108,-115,18.16,0.0,0
2025,16,00-0036997,Javonte Williams,RB,DAL,LAC,0.6544030057894338,0.4802477409253221,0.14012030032100442,0.5833333333333333,8.0,108,-140,13.93,0.0,0
2025,16,00-0040730,RJ Harvey,RB,DEN,JAX,0.6537842276847061,0.4799260300839765,0.13990987132350996,0.5370271139213375,8.0,108,-116,13.38,1.0,1
2025,16,00-0036900,Ja'Marr Chase,WR,CIN,MIA,0.6083699619279235,0.4557627260818583,0.12466511646852163,0.5555555555555556,7.0,119,-125,16.01,0.0,0
2025,16,00-0040734,TreVeyon Henderson,RB,NE,BAL,0.5954264204549523,0.448672581553044,0.12039767028850334,0.46511627906976744,8.0,123,115,12.12,0.0,0
2025,16,00-0034857,Josh Allen,QB,BUF,CLE,0.5901807978663993,0.4457729273965172,0.11867875148823492,0.5348837209302326,8.0,124,-115,24.66,0.0,0
2025,16,00-0040122,Ashton Jeanty,RB,LV,HOU,0.5862608325291506,0.4435961127514032,0.11739830659058514,0.3077651515151515,8.0,125,225,12.28,2.0,1
2025,16,00-0036973,Travis Etienne,RB,JAX,DEN,0.5788727164882337,0.43947011335349284,0.11499465519758756,0.5555555555555556,8.0,128,-125,12.75,1.0,1
2025,16,00-0035700,Josh Jacobs,RB,GB,CHI,0.5644078474798048,0.43130319768329684,0.11032625961907838,0.5346320346320346,8.0,132,-115,16.16,0.0,0
2025,16,00-0039064,Zay Flowers,WR,BAL,NE,0.562611511582838,0.4302807091112911,0.10975007768649214,0.37037037037037035,8.0,132,170,11.64,1.0,1
2025,16,00-0036919,Kenneth Gainwell,RB,PIT,DET,0.545253372106702,0.4203051137837496,0.10422452228132806,0.4347826086956522,8.0,138,130,11.94,1.0,1
2025,16,00-0036554,Nico Collins,WR,HOU,LV,0.5447334473610997,0.42000363770186033,0.10406021981029745,0.48780487804878053,8.0,138,105,14.32,0.0,0
2025,16,00-0033293,Aaron Jones,RB,MIN,NYG,0.5245620843685304,0.4081855275626526,0.09774209434145542,0.32291666666666663,8.0,145,210,11.86,0.0,0
2025,16,00-0039391,Kimani Vidal,RB,LAC,DAL,0.523504592345733,0.40755935745247907,0.09741396038659511,0.2797339593114241,8.0,145,257,8.68,0.0,0
2025,16,00-0038543,Jaxon Smith-Njigba,WR,SEA,LA,0.5215279985539827,0.4063871848835602,0.09680148149988799,0.4484304932735426,7.0,146,123,16.61,1.0,1
2025,16,00-0037840,Kyren Williams,RB,LA,SEA,0.5017435878430944,0.39452595835121484,0.09073324034849417,0.45454545454545453,7.0,153,120,12.13,0.0,0
2025,16,00-0036259,Jauan Jennings,WR,SF,IND,0.5012699315373861,0.3942391038235803,0.09058938086920076,0.4166666666666667,8.0,154,140,10.81,1.0,1
2025,16,00-0040784,Quinshon Judkins,RB,CLE,BUF,0.5007197679091129,0.3939057445183999,0.09042236958260652,0.47732968785600366,8.0,154,109,13.22,0.0,0
2025,16,00-0037240,Jameson Williams,WR,DET,PIT,0.4982033944853895,0.3923786644956483,0.08965965258563457,0.39607843137254906,8.0,155,152,12.51,0.0,0
2025,16,00-0036912,DeVonta Smith,WR,PHI,WAS,0.49624154177507923,0.3911854308401226,0.08906635038509447,0.35714285714285715,8.0,156,180,11.73,1.0,1
2025,16,00-0037525,Jordan Mason,RB,MIN,NYG,0.49330375402507576,0.3893942330656398,0.08818011600755948,0.3252247488101534,8.0,157,207,9.08,0.0,0
2025,16,00-0036358,CeeDee Lamb,WR,DAL,LAC,0.4895277884005728,0.3870842482125033,0.08704495576409554,0.42109929078014185,8.0,158,137,14.64,0.0,0
2025,16,00-0037228,Jaylen Warren,RB,PIT,DET,0.48462318658778497,0.3840707565577063,0.08557716388809833,0.4,8.0,160,150,10.36,2.0,1
2025,16,00-0035676,A.J. Brown,WR,PHI,WAS,0.4809936442160789,0.38183115336194395,0.08449586707665502,0.4444444444444444,8.0,162,125,13.52,0.0,0
2025,16,00-0034383,Dalton Schultz,TE,HOU,LV,0.47380324729436446,0.3773702553961682,0.08236626054081186,0.36363636363636365,8.0,165,175,8.32,1.0,1
2025,16,00-0039405,Jawhar Jordan,RB,HOU,LV,0.4731293073968992,0.37695049894050736,0.08216752003024597,0.3508771929824561,7.0,165,185,7.63,0.0,0
2025,16,00-0036322,Justin Jefferson,WR,MIN,NYG,0.4679210365720923,0.3736970232650102,0.08063668518298672,0.425531914893617,8.0,168,135,11.14,0.0,0
2025,16,00-0035640,DK Metcalf,WR,PIT,DET,0.46311325760025046,0.37067864695446373,0.0792315850681482,0.3846153846153846,8.0,170,160,11.84,0.0,0
2025,16,00-0033288,George Kittle,TE,SF,IND,0.4602948904513875,0.3689024865666167,0.07841152575665455,0.45454545454545453,8.0,171,120,12.6,1.0,1
2025,16,00-0038559,Michael Wilson,WR,ARI,ATL,0.4582723172360169,0.3676247539213262,0.07782468453815583,0.3846153846153846,8.0,172,160,11.84,1.0,1
2025,16,00-0040124,Tetairoa McMillan,WR,CAR,TB,0.45813063832306616,0.367535153336778,0.07778362941805594,0.38098693759071117,8.0,172,162,12.14,1.0,1
2025,16,00-0038134,Kenneth Walker III,RB,SEA,LA,0.4487476570595665,0.3615728190389761,0.07508011737957265,0.3508771929824561,7.0,177,185,9.51,1.0,1
2025,16,00-0037744,Trey McBride,TE,ARI,ATL,0.4481754976478037,0.3612074323989294,0.07491625552060133,0.46511627906976744,8.0,177,115,14.35,0.0,0
2025,16,00-0036275,D'Andre Swift,RB,CHI,GB,0.4395365632577824,0.3556650396043024,0.07245626552513817,0.4166666666666667,7.0,181,140,10.73,0.0,0
2025,16,00-0036139,Rico Dowdle,RB,CAR,TB,0.4386565925909741,0.355097794196499,0.07220719004433218,0.45454545454545453,8.0,182,120,12.22,0.0,0
