season,week,player_id,player_display_name,position,team,opponent_team,lambda,p_ge1,p_ge2,p_book,n_books,fair_amer,book_amer,sleeper_half_ppr,scoring_tds,scored_anytime
2025,15,00-0036973,Travis Etienne,RB,JAX,NYJ,1.000720608224507,0.6323855602869103,0.2645062145851158,0.6370223978919631,8.0,-172,-175,13.29,3.0,1
2025,15,00-0032764,Derrick Henry,RB,BAL,CIN,0.9510136264701121,0.6136507888747296,0.246227424518619,0.6422171018945212,8.0,-159,-179,16.68,0.0,0
2025,15,00-0037248,James Cook,RB,BUF,NE,0.8989438342317815,0.5930007084611248,0.2271312047955497,0.5454545454545454,8.0,-146,-120,15.86,3.0,1
2025,15,00-0040583,Woody Marks,RB,HOU,ARI,0.8463000709184594,0.5710007339601737,0.20793862468670166,0.5998399359743898,8.0,-133,-150,14.52,0.0,0
2025,15,00-0037840,Kyren Williams,RB,LA,DET,0.8420484536535673,0.5691729104243504,0.20639562585510762,0.5316133561493572,8.0,-132,-113,12.25,2.0,1
2025,15,00-0035700,Josh Jacobs,RB,GB,DEN,0.8341303076846305,0.565748017133418,0.2035252770522552,0.5433694745621351,8.0,-130,-119,15.29,2.0,1
2025,15,00-0034844,Saquon Barkley,RB,PHI,LV,0.8200434466736393,0.5595874803686781,0.19843007981198713,0.5348837209302326,8.0,-127,-115,13.89,1.0,1
2025,15,00-0039361,Bucky Irving,RB,TB,ATL,0.8127607851771675,0.5563683975517237,0.19580202801645763,0.45454545454545453,7.0,-125,120,13.11,0.0,0
2025,15,00-0039139,Jahmyr Gibbs,RB,DET,LA,0.8063888394430208,0.5535325757987335,0.19350622774795945,0.6370223978919631,8.0,-124,-175,19.3,0.0,0
2025,15,00-0033280,Christian McCaffrey,RB,SF,TEN,0.7342272532304974,0.520123861528478,0.16778572248767454,0.7278785634950019,8.0,-108,-267,21.26,1.0,1
2025,15,00-0038134,Kenneth Walker III,RB,SEA,IND,0.7249135836644545,0.5156335756817063,0.16450977522239418,0.509792142256398,8.0,-106,-104,11.75,0.0,0
2025,15,00-0038542,Bijan Robinson,RB,ATL,TB,0.706769328663954,0.5067648932539763,0.1581614479855954,0.5391705069124424,7.0,-103,-117,20.02,1.0,1
2025,15,00-0036997,Javonte Williams,RB,DAL,MIN,0.705954444228548,0.5063627998349092,0.15787742454182596,0.5555555555555556,8.0,-103,-125,15.33,1.0,1
2025,15,00-0040734,TreVeyon Henderson,RB,NE,BUF,0.7054893214563844,0.5061331445271089,0.1577153517697406,0.48900047824007653,8.0,-102,104,12.93,2.0,1
2025,15,00-0038597,Chase Brown,RB,CIN,BAL,0.6547619573331223,0.48043427332100397,0.14024240115745856,0.45454545454545453,8.0,108,120,11.71,0.0,0
