season,week,player_id,player_display_name,position,team,opponent_team,lambda,p_ge1,p_ge2,p_book,n_books,fair_amer,book_amer,sleeper_half_ppr,scoring_tds,scored_anytime
2025,14,00-0032764,Derrick Henry,RB,BAL,PIT,1.1191489308909912,0.6734424005240671,0.30797581219624826,0.6116138763197587,8.0,-206,-157,15.84,0.0,0
2025,14,00-0037840,Kyren Williams,RB,LA,ARI,1.0993794466327746,0.6669222879247428,0.30074349713773596,0.5555555555555556,8.0,-200,-125,13.5,1.0,1
2025,14,00-0038134,Kenneth Walker III,RB,SEA,ATL,0.9502651322395644,0.6133615004673796,0.2459524155801074,0.47619047619047616,8.0,-159,110,11.97,0.0,0
2025,14,00-0039361,Bucky Irving,RB,TB,NO,0.9069822076175716,0.5962592066758454,0.2300734906414338,0.49390243902439024,8.0,-148,102,13.85,1.0,1
2025,14,00-0037248,James Cook,RB,BUF,CIN,0.8993046791071455,0.59314754557545,0.2272632296052256,0.6666666666666666,8.0,-146,-200,17.42,0.0,0
2025,14,00-0035700,Josh Jacobs,RB,GB,CHI,0.8962653326183061,0.5919090989157245,0.22615137171692212,0.6402691511387163,8.0,-145,-178,18.1,1.0,1
2025,14,00-0039040,De'Von Achane,RB,MIA,NYJ,0.8215640285553898,0.5602566547703531,0.19897934053306088,0.6000000000000001,8.0,-127,-150,20.08,1.0,1
2025,14,00-0039139,Jahmyr Gibbs,RB,DET,DAL,0.8174810825049899,0.5584575360627897,0.19750492467147862,0.7202660406885759,8.0,-126,-257,22.04,3.0,1
2025,14,00-0036223,Jonathan Taylor,RB,IND,JAX,0.8139644094923518,0.5569020421172026,0.1962360744818643,0.6799795186891961,8.0,-126,-212,20.2,1.0,1
2025,14,00-0036997,Javonte Williams,RB,DAL,DET,0.7649899721829955,0.5346614027187844,0.1786820421289531,0.5798022598870056,8.0,-115,-138,14.11,1.0,1
2025,14,00-0038542,Bijan Robinson,RB,ATL,SEA,0.711692577030736,0.5091872443767794,0.1598794494877328,0.5884494876788889,8.0,-104,-143,17.09,0.0,0
2025,14,00-0037247,George Pickens,WR,DAL,DET,0.681249297948166,0.4940155280180031,0.14931396170759426,0.45454545454545453,8.0,102,120,15.1,0.0,0
2025,14,00-0039075,Puka Nacua,WR,LA,ARI,0.6747817006129943,0.4907324187252309,0.14708797416557595,0.5454545454545454,8.0,104,-120,16.42,2.0,1
2025,14,00-0034844,Saquon Barkley,RB,PHI,LAC,0.6617473021365653,0.484050972418382,0.14262309537626205,0.4819976771196284,8.0,107,107,14.95,1.0,1
2025,14,00-0036900,Ja'Marr Chase,WR,CIN,BUF,0.6392781645006219,0.4723268201617319,0.13499687829851725,0.5670914542728636,8.0,112,-131,15.2,0.0,0
2025,14,00-0036973,Travis Etienne,RB,JAX,IND,0.608102640177582,0.45561722017361284,0.1245766144939755,0.4640396210163652,8.0,119,115,10.74,2.0,1
2025,14,00-0036358,CeeDee Lamb,WR,DAL,DET,0.6079609076908783,0.45554005798044384,0.12452969742891151,0.47619047619047616,8.0,120,110,16.84,0.0,0
2025,14,00-0038543,Jaxon Smith-Njigba,WR,SEA,ATL,0.5672683356283346,0.4329276237130866,0.11124542063600451,0.5348837209302326,8.0,131,-115,17.24,2.0,1
2025,14,00-0031381,Davante Adams,WR,LA,ARI,0.5350825694614737,0.41437906625668663,0.10102351229888717,0.6296296296296295,8.0,141,-170,13.28,0.0,0
2025,14,00-0040122,Ashton Jeanty,RB,LV,DEN,0.53325723069836,0.4133091334680099,0.10045198670513977,0.41241496598639454,8.0,142,142,12.95,0.0,0
2025,14,00-0036912,DeVonta Smith,WR,PHI,LAC,0.5309224060213413,0.41193771276461333,0.09972226833518871,0.2898550724637681,8.0,143,245,11.23,0.0,0
2025,14,00-0038597,Chase Brown,RB,CIN,BUF,0.5227198113489917,0.4070942388102463,0.09717065117340795,0.45454545454545453,8.0,146,120,14.06,2.0,1
