season,week,player_id,player_display_name,position,team,opponent_team,lambda,p_ge1,p_ge2,p_book,n_books,fair_amer,book_amer,sleeper_half_ppr,scoring_tds,scored_anytime
2025,13,00-0032764,Derrick Henry,RB,BAL,CIN,1.091022580866135,0.6641271391204892,0.29768226360083294,0.6923076923076923,8.0,-198,-225,17.83,1.0,1
2025,13,00-0040734,TreVeyon Henderson,RB,NE,NYG,0.9780438988017511,0.6239540361575961,0.25616457555250927,0.5282599020916778,8.0,-166,-112,14.68,0.0,0
2025,13,00-0036973,Travis Etienne,RB,JAX,TEN,0.9414765075354683,0.6099485039945454,0.2427241837763452,0.49875621890547267,8.0,-156,100,13.28,0.0,0
2025,13,00-0039361,Bucky Irving,RB,TB,ARI,0.8800667964441533,0.5852447934167032,0.22023250745040823,0.35401002506265666,8.0,-141,182,12.73,1.0,1
2025,13,00-0038134,Kenneth Walker III,RB,SEA,MIN,0.8548533879725413,0.5746544527158644,0.21104637056098607,0.45454545454545453,8.0,-135,120,11.94,0.0,0
2025,13,00-0039139,Jahmyr Gibbs,RB,DET,GB,0.8403389821757519,0.5684357939425557,0.2057755682807565,0.6551724137931035,8.0,-132,-190,21.28,0.0,0
2025,13,00-0037840,Kyren Williams,RB,LA,CAR,0.8395206452679049,0.5680824844812641,0.20547881315046457,0.5555555555555556,8.0,-132,-125,13.17,1.0,1
2025,13,00-0038542,Bijan Robinson,RB,ATL,NYJ,0.8233267859858939,0.5610311328106657,0.19961630623980242,0.6055088702147526,8.0,-128,-153,18.67,1.0,1
2025,13,00-0037248,James Cook,RB,BUF,PIT,0.8178129874268798,0.5586040618621317,0.1976247310555116,0.5,7.0,-127,100,15.96,0.0,0
2025,13,00-0034844,Saquon Barkley,RB,PHI,CHI,0.7678051524764155,0.5359695725367091,0.1796846194245606,0.5555555555555556,8.0,-116,-125,14.48,0.0,0
2025,13,00-0036223,Jonathan Taylor,RB,IND,HOU,0.7346185950340194,0.5203116203806344,0.16792361689051083,0.6946386946386947,8.0,-108,-227,21.59,0.0,0
2025,13,00-0036997,Javonte Williams,RB,DAL,KC,0.7284499844930212,0.5173434642982281,0.16575231835081694,0.603921568627451,8.0,-107,-152,14.73,1.0,1
2025,13,00-0039391,Kimani Vidal,RB,LAC,LV,0.6496481701208914,0.47777051962214123,0.1385050933114813,0.5652173913043479,7.0,109,-130,12.38,1.0,1
2025,13,00-0035700,Josh Jacobs,RB,GB,DET,0.6476912460267975,0.4767475555642954,0.1378415278411662,0.5761494252873562,8.0,110,-136,14.75,0.0,0
2025,13,00-0038543,Jaxon Smith-Njigba,WR,SEA,MIN,0.6293833732174888,0.46707968735032657,0.13166850331875635,0.5191863153028202,8.0,114,-108,18.36,0.0,0
2025,13,00-0039040,De'Von Achane,RB,MIA,NO,0.6253507513738991,0.46492628224063015,0.13031753079938257,0.5815606561969291,8.0,115,-139,19.78,1.0,1
2025,13,00-0036912,DeVonta Smith,WR,PHI,CHI,0.5771860832185022,0.4385239072709751,0.11444772048788077,0.3389830508474576,8.0,128,195,12.08,0.0,0
2025,13,00-0040122,Ashton Jeanty,RB,LV,LAC,0.5564642129036675,0.426767687733949,0.1077844202778715,0.3802281368821293,7.0,134,163,14.47,0.0,0
2025,13,00-0036900,Ja'Marr Chase,WR,CIN,BAL,0.553993176154541,0.42534945809742264,0.10699697920988571,0.5348837209302326,8.0,135,-115,16.65,0.0,0
2025,13,00-0036963,Amon-Ra St. Brown,WR,DET,GB,0.5487549754978697,0.4223314256225419,0.1053329212441505,0.49142719149963776,8.0,137,103,15.83,0.0,0
2025,13,00-0036358,CeeDee Lamb,WR,DAL,KC,0.5468375772217832,0.4212227423398388,0.10472558900988849,0.4444444444444444,8.0,137,125,15.14,1.0,1
2025,13,00-0033280,Christian McCaffrey,RB,SF,CLE,0.5343549581938148,0.41395280680993574,0.10079558339325634,0.5833333333333333,8.0,142,-140,18.64,1.0,1
2025,13,00-0040583,Woody Marks,RB,HOU,IND,0.5287114125081919,0.41063607243329847,0.09903263780813198,0.4246303642264695,8.0,144,135,11.35,0.0,0
2025,13,00-0034348,Courtland Sutton,WR,DEN,WAS,0.5016396938012683,0.3944630499379591,0.09070167972348298,0.37735849056603776,8.0,154,165,10.61,1.0,1
2025,13,00-0039064,Zay Flowers,WR,BAL,CIN,0.4990927730285356,0.39291882963255675,0.08992900486046074,0.4166666666666667,8.0,155,140,12.94,0.0,0
2025,13,00-0040730,RJ Harvey,RB,DEN,WAS,0.49362735235007466,0.38959179210244377,0.08827760458521916,0.5085728085003622,8.0,157,-103,12.04,2.0,1
2025,13,00-0037247,George Pickens,WR,DAL,KC,0.4897179364339059,0.38720078185763174,0.08710201330064016,0.41409465020576136,8.0,158,141,14.49,0.0,0
2025,13,00-0038597,Chase Brown,RB,CIN,BAL,0.4843028863902144,0.3838734427011955,0.08548157261971867,0.47619047619047616,8.0,161,110,12.77,0.0,0
2025,13,00-0039075,Puka Nacua,WR,LA,CAR,0.4775636585276699,0.3797072025868957,0.08347790489593088,0.5121951219512195,8.0,163,-105,16.68,0.0,0
2025,13,00-0030506,Travis Kelce,TE,KC,DAL,0.4774107480893972,0.37961234609129657,0.08343261213331643,0.4444444444444444,8.0,163,125,10.47,1.0,1
2025,13,00-0036875,Rhamondre Stevenson,RB,NE,NYG,0.4764682768535708,0.379027372955549,0.08315361537444432,0.3252247488101534,8.0,164,207,6.84,0.0,0
2025,13,00-0039165,Zach Charbonnet,RB,SEA,MIN,0.47268859513648703,0.376675852871047,0.08203763745001325,0.5,8.0,165,100,7.86,1.0,1
2025,13,00-0038120,Breece Hall,RB,NYJ,ATL,0.47232360833666465,0.3764483062621061,0.08193012029138524,0.4166666666666667,8.0,166,140,15.29,1.0,1
2025,13,00-0036613,Jaylen Waddle,WR,MIA,NO,0.46589572369388604,0.37242727839928536,0.08004383109857871,0.4347826086956522,8.0,169,130,12.81,0.0,0
2025,13,00-0036389,Jalen Hurts,QB,PHI,CHI,0.4554285776223462,0.3658238839943867,0.07700195751988625,0.540169133192389,8.0,173,-117,25.06,0.0,0
