player_id,player,position,yahoo_id
00-0039849,Marvin Harrison,WR,40893
00-0039919,Rome Odunze,WR,40901
00-0031381,Davante Adams,WR,27581
00-0040735,Luther Burden,WR,41824
00-0036613,Jaylen Waddle,WR,33394
00-0034827,DJ Moore,WR,30994
00-0038559,Michael Wilson,WR,40121
00-0035659,Terry McLaurin,WR,31908
00-0034348,Courtland Sutton,WR,31010
00-0038994,Jordan Addison,WR,40042
00-0034960,Jakobi Meyers,WR,32231
00-0038124,Christian Watson,WR,33989
00-0038606,Parker Washington,WR,40234
00-0036252,Michael Pittman,WR,32704
00-0031408,Mike Evans,WR,27535
00-0039894,Xavier Worthy,WR,40877
00-0037261,Khalil Shakir,WR,34104
00-0037816,Romeo Doubs,WR,34088
00-0038997,Josh Downs,WR,40126
00-0039146,Jayden Reed,WR,40063
00-0033921,Chris Godwin,WR,30197
00-0040667,Matthew Golden,WR,41808
00-0037545,Rashid Shaheed,WR,34659
00-0035719,Deebo Samuel,WR,31868
TAT143045,Carnell Tate,WR,42626
00-0039491,Jalen Coker,WR,41293
LEM694125,Makai Lemon,WR,42642
00-0036259,Jauan Jennings,WR,32887
00-0036407,Jerry Jeudy,WR,32685
00-0039868,Troy Franklin,WR,41009
TYS405541,Jordyn Tyson,WR,42630
CON046719,KC Concepcion,WR,42646
00-0040727,Tre' Harris,WR,41840
00-0036261,Brandon Aiyuk,WR,32695
COO816508,Omar Cooper,WR,42652
00-0039855,Jalen McMillan,WR,40954
00-0040705,Chimere Dike,WR,41903
BOS677861,Denzel Boston,WR,42661
00-0031588,Stefon Diggs,WR,28534
00-0040134,Pat Bryant,WR,41860
00-0034837,Calvin Ridley,WR,30996
00-0039890,Adonai Mitchell,WR,40915
00-0040718,Travis Hunter,WR,99001
00-0038608,Kayshon Boutte,WR,40224
WIL143106,Antonio Williams,WR,42693
00-0033040,Tyreek Hill,WR,29399
