player_id,player,position,adp_half_ppr,adp_pos_rank,sleeper_pts_half_ppr,refreshed_at,adp_source,adp_matched,sleeper_matched
00-0034844,Saquon Barkley,RB,13.9,7,228.2,2026-08-16,fresh,True,True
00-0038555,Tank Bigsby,RB,164.3,51,61.2,2026-08-16,fresh,True,True
00-0035261,Tony Pollard,RB,82.0,31,146.1,2026-08-16,fresh,True,True
00-0036973,Travis Etienne,RB,41.3,19,189.7,2026-08-16,fresh,True,True
00-0040734,TreVeyon Henderson,RB,46.9,21,162.0,2026-08-16,fresh,True,True
00-0039921,Trey Benson,RB,263.3,60,25.7,2026-08-16,fresh,True,True
00-0039032,Tyjae Spears,RB,165.6,52,97.1,2026-08-16,fresh,True,True
00-0037263,Tyler Allgeier,RB,129.0,44,65.4,2026-08-16,fresh,True,True
00-0039384,Tyrone Tracy,RB,128.4,43,100.8,2026-08-16,fresh,True,True
00-0040583,Woody Marks,RB,148.5,47,74.3,2026-08-16,fresh,True,True
00-0039165,Zach Charbonnet,RB,125.8,42,61.7,2026-08-16,fresh,True,True
00-0039793,AJ Barner,TE,171.1,20,113.4,2026-08-16,fresh,True,True
00-0038935,Brenton Strange,TE,155.9,18,129.5,2026-08-16,fresh,True,True
00-0039338,Brock Bowers,TE,21.6,1,202.5,2026-08-16,fresh,True,True
00-0037809,Chig Okonkwo,TE,175.6,21,113.6,2026-08-16,fresh,True,True
00-0040126,Colston Loveland,TE,44.2,3,173.4,2026-08-16,fresh,True,True
00-0034351,Dallas Goedert,TE,121.4,16,109.5,2026-08-16,fresh,True,True
00-0038933,Dalton Kincaid,TE,94.5,10,130.6,2026-08-16,fresh,True,True
00-0034383,Dalton Schultz,TE,194.4,24,110.2,2026-08-16,fresh,True,True
00-0033288,George Kittle,TE,91.1,9,138.3,2026-08-16,fresh,True,True
00-0040663,Harold Fannin,TE,71.5,8,143.4,2026-08-16,fresh,True,True
00-0033090,Hunter Henry,TE,145.5,17,124.5,2026-08-16,fresh,True,True
00-0037838,Isaiah Likely,TE,117.6,13,126.3,2026-08-16,fresh,True,True
00-0038041,Jake Ferguson,TE,107.6,12,124.8,2026-08-16,fresh,True,True
00-0036040,Juwan Johnson,TE,185.4,22,109.6,2026-08-16,fresh,True,True
SAD482340,Kenyon Sadiq,TE,159.6,19,80.2,2026-08-16,fresh,True,True
00-0036970,Kyle Pitts,TE,71.5,7,138.6,2026-08-16,fresh,True,True
00-0034753,Mark Andrews,TE,118.0,14,132.5,2026-08-16,fresh,True,True
00-0040189,Oronde Gadsden,TE,119.8,15,113.8,2026-08-16,fresh,True,True
00-0039065,Sam LaPorta,TE,65.5,5,158.5,2026-08-16,fresh,True,True
00-0035229,T.J. Hockenson,TE,185.9,23,122.0,2026-08-16,fresh,True,True
00-0030506,Travis Kelce,TE,99.4,11,136.4,2026-08-16,fresh,True,True
00-0037744,Trey McBride,TE,23.0,2,186.9,2026-08-16,fresh,True,True
00-0038996,Tucker Kraft,TE,68.1,6,140.9,2026-08-16,fresh,True,True
00-0040128,Tyler Warren,TE,50.0,4,159.6,2026-08-16,fresh,True,True
00-0035676,A.J. Brown,WR,20.8,8,207.7,2026-08-16,fresh,True,True
00-0039890,Adonai Mitchell,WR,223.1,68,80.8,2026-08-16,fresh,True,True
00-0037664,Alec Pierce,WR,89.4,39,150.9,2026-08-16,fresh,True,True
00-0036963,Amon-Ra St. Brown,WR,8.3,4,227.5,2026-08-16,fresh,True,True
WIL143106,Antonio Williams,WR,205.8,65,61.2,2026-08-16,fresh,True,True
00-0036261,Brandon Aiyuk,WR,267.6,71,41.6,2026-08-16,fresh,True,True
00-0039893,Brian Thomas,WR,70.2,31,164.4,2026-08-16,fresh,True,True
TAT143045,Carnell Tate,WR,63.6,29,154.8,2026-08-16,fresh,True,True
00-0036358,CeeDee Lamb,WR,10.1,5,222.5,2026-08-16,fresh,True,True
00-0040705,Chimere Dike,WR,527.1,72,70.4,2026-08-16,fresh,True,True
00-0033921,Chris Godwin,WR,95.1,40,139.6,2026-08-16,fresh,True,True
00-0037239,Chris Olave,WR,31.2,12,194.9,2026-08-16,fresh,True,True
00-0038124,Christian Watson,WR,67.7,30,176.1,2026-08-16,fresh,True,True
00-0034348,Courtland Sutton,WR,85.0,37,144.8,2026-08-16,fresh,True,True
00-0034827,DJ Moore,WR,57.9,25,147.5,2026-08-16,fresh,True,True
00-0035640,DK Metcalf,WR,77.9,35,152.3,2026-08-16,fresh,True,True
00-0031381,Davante Adams,WR,58.8,26,161.0,2026-08-16,fresh,True,True
00-0036912,DeVonta Smith,WR,34.6,14,189.2,2026-08-16,fresh,True,True
00-0035719,Deebo Samuel,WR,141.6,55,127.7,2026-08-16,fresh,True,True
BOS677861,Denzel Boston,WR,157.9,58,99.9,2026-08-16,fresh,True,True
00-0037238,Drake London,WR,19.5,7,205.2,2026-08-16,fresh,True,True
00-0040129,Emeka Egbuka,WR,39.2,17,185.5,2026-08-16,fresh,True,True
00-0037740,Garrett Wilson,WR,41.3,19,183.4,2026-08-16,fresh,True,True
00-0037247,George Pickens,WR,26.3,10,205.7,2026-08-16,fresh,True,True
00-0036900,Ja'Marr Chase,WR,3.1,1,256.6,2026-08-16,fresh,True,True
00-0034960,Jakobi Meyers,WR,106.6,45,137.3,2026-08-16,fresh,True,True
00-0039491,Jalen Coker,WR,147.8,56,135.9,2026-08-16,fresh,True,True
00-0039855,Jalen McMillan,WR,191.2,62,105.4,2026-08-16,fresh,True,True
00-0037240,Jameson Williams,WR,56.2,24,176.2,2026-08-16,fresh,True,True
00-0036259,Jauan Jennings,WR,178.8,61,86.2,2026-08-16,fresh,True,True
00-0038543,Jaxon Smith-Njigba,WR,7.9,3,235.1,2026-08-16,fresh,True,True
00-0040130,Jayden Higgins,WR,125.1,53,136.9,2026-08-16,fresh,True,True
00-0039146,Jayden Reed,WR,103.4,44,162.6,2026-08-16,fresh,True,True
00-0036613,Jaylen Waddle,WR,47.4,21,182.5,2026-08-16,fresh,True,True
00-0036407,Jerry Jeudy,WR,200.6,63,98.1,2026-08-16,fresh,True,True
00-0038994,Jordan Addison,WR,101.2,43,141.7,2026-08-16,fresh,True,True
TYS405541,Jordyn Tyson,WR,75.4,33,133.8,2026-08-16,fresh,True,True
00-0038997,Josh Downs,WR,112.9,47,143.4,2026-08-16,fresh,True,True
00-0036322,Justin Jefferson,WR,11.3,6,205.4,2026-08-16,fresh,True,True
CON046719,KC Concepcion,WR,113.6,48,127.4,2026-08-16,fresh,True,True
00-0038608,Kayshon Boutte,WR,227.2,69,79.1,2026-08-16,fresh,True,True
00-0037261,Khalil Shakir,WR,130.0,54,132.0,2026-08-16,fresh,True,True
00-0039915,Ladd McConkey,WR,40.8,18,187.7,2026-08-16,fresh,True,True
00-0040735,Luther Burden,WR,53.5,23,173.0,2026-08-16,fresh,True,True
LEM694125,Makai Lemon,WR,83.4,36,138.5,2026-08-16,fresh,True,True
00-0039337,Malik Nabers,WR,32.4,13,186.3,2026-08-16,fresh,True,True
00-0039849,Marvin Harrison,WR,74.0,32,155.2,2026-08-16,fresh,True,True
00-0040667,Matthew Golden,WR,124.4,52,141.1,2026-08-16,fresh,True,True
00-0036252,Michael Pittman,WR,98.5,41,136.4,2026-08-16,fresh,True,True
00-0038559,Michael Wilson,WR,88.4,38,136.5,2026-08-16,fresh,True,True
00-0031408,Mike Evans,WR,59.2,27,187.2,2026-08-16,fresh,True,True
00-0036554,Nico Collins,WR,23.1,9,210.5,2026-08-16,fresh,True,True
COO816508,Omar Cooper,WR,172.3,59,104.6,2026-08-16,fresh,True,True
00-0038606,Parker Washington,WR,76.7,34,176.4,2026-08-16,fresh,True,True
00-0040134,Pat Bryant,WR,209.9,66,78.9,2026-08-16,fresh,True,True
00-0039075,Puka Nacua,WR,4.9,2,259.0,2026-08-16,fresh,True,True
00-0038544,Quentin Johnston,WR,101.2,42,134.9,2026-08-16,fresh,True,True
00-0039067,Rashee Rice,WR,28.7,11,185.3,2026-08-16,fresh,True,True
00-0037545,Rashid Shaheed,WR,151.3,57,115.6,2026-08-16,fresh,True,True
00-0039919,Rome Odunze,WR,62.4,28,173.9,2026-08-16,fresh,True,True
00-0037816,Romeo Doubs,WR,123.6,51,132.7,2026-08-16,fresh,True,True
00-0031588,Stefon Diggs,WR,119.5,49,125.3,2026-08-16,fresh,True,True
00-0036410,Tee Higgins,WR,38.7,16,186.9,2026-08-16,fresh,True,True
00-0035659,Terry McLaurin,WR,52.5,22,176.8,2026-08-16,fresh,True,True
00-0040124,Tetairoa McMillan,WR,35.9,15,184.5,2026-08-16,fresh,True,True
00-0040718,Travis Hunter,WR,173.3,60,83.1,2026-08-16,fresh,True,True
00-0040727,Tre' Harris,WR,219.4,67,93.4,2026-08-16,fresh,True,True
00-0039868,Troy Franklin,WR,265.2,70,70.6,2026-08-16,fresh,True,True
00-0033040,Tyreek Hill,WR,202.7,64,77.2,2026-08-16,fresh,True,True
00-0038117,Wan'Dale Robinson,WR,110.0,46,130.1,2026-08-16,fresh,True,True
00-0039894,Xavier Worthy,WR,122.7,50,134.0,2026-08-16,fresh,True,True
00-0039064,Zay Flowers,WR,43.9,20,187.7,2026-08-16,fresh,True,True
