player_id,player,position,espn_id,espn_adp,espn_pos_rank,refreshed_at,adp_source,adp_matched
00-0040734,TreVeyon Henderson,RB,4432710,77.86,25,2026-08-21,fresh,True
00-0039921,Trey Benson,RB,4429275,169.93,54,2026-08-21,fresh,True
00-0039032,Tyjae Spears,RB,4428557,164.81,46,2026-08-21,fresh,True
00-0037263,Tyler Allgeier,RB,4373626,168.13,50,2026-08-21,fresh,True
00-0039384,Tyrone Tracy,RB,4360516,166.71,48,2026-08-21,fresh,True
00-0040583,Woody Marks,RB,4429059,152.58,42,2026-08-21,fresh,True
00-0039165,Zach Charbonnet,RB,4426385,155.02,43,2026-08-21,fresh,True
00-0039793,AJ Barner,TE,4576297,169.1,22,2026-08-21,fresh,True
00-0038935,Brenton Strange,TE,4430539,167.83,20,2026-08-21,fresh,True
00-0039338,Brock Bowers,TE,4432665,23.97,2,2026-08-21,fresh,True
00-0037809,Chig Okonkwo,TE,4360635,169.54,23,2026-08-21,fresh,True
00-0040126,Colston Loveland,TE,4723086,45.24,3,2026-08-21,fresh,True
00-0034351,Dallas Goedert,TE,3121023,100.7,11,2026-08-21,fresh,True
00-0038933,Dalton Kincaid,TE,4385690,134.75,16,2026-08-21,fresh,True
00-0034383,Dalton Schultz,TE,3117256,167.89,21,2026-08-21,fresh,True
00-0033288,George Kittle,TE,3040151,99.89,10,2026-08-21,fresh,True
00-0040663,Harold Fannin,TE,5083076,76.92,7,2026-08-21,fresh,True
00-0033090,Hunter Henry,TE,3046439,142.99,18,2026-08-21,fresh,True
00-0037838,Isaiah Likely,TE,4361050,129.72,14,2026-08-21,fresh,True
00-0038041,Jake Ferguson,TE,4242355,112.44,12,2026-08-21,fresh,True
00-0036040,Juwan Johnson,TE,3929645,164.12,19,2026-08-21,fresh,True
SAD482340,Kenyon Sadiq,TE,5083315,141.81,17,2026-08-21,fresh,True
00-0036970,Kyle Pitts,TE,4360248,65.79,5,2026-08-21,fresh,True
00-0034753,Mark Andrews,TE,3116365,122.91,13,2026-08-21,fresh,True
00-0040189,Oronde Gadsden,TE,4595342,170.01,24,2026-08-21,fresh,True
00-0039065,Sam LaPorta,TE,4430027,65.95,6,2026-08-21,fresh,True
00-0035229,T.J. Hockenson,TE,4036133,133.49,15,2026-08-21,fresh,True
00-0030506,Travis Kelce,TE,15847,99.86,9,2026-08-21,fresh,True
00-0037744,Trey McBride,TE,4361307,20.01,1,2026-08-21,fresh,True
00-0038996,Tucker Kraft,TE,4572680,96.12,8,2026-08-21,fresh,True
00-0040128,Tyler Warren,TE,4431459,47.62,4,2026-08-21,fresh,True
00-0035676,A.J. Brown,WR,4047646,27.16,9,2026-08-21,fresh,True
00-0039890,Adonai Mitchell,WR,4597500,169.96,63,2026-08-21,fresh,True
00-0037664,Alec Pierce,WR,4360078,99.05,35,2026-08-21,fresh,True
00-0036963,Amon-Ra St. Brown,WR,4374302,8.37,4,2026-08-21,fresh,True
WIL143106,Antonio Williams,WR,5081432,170.93,70,2026-08-21,fresh,True
00-0036261,Brandon Aiyuk,WR,4360438,170.21,64,2026-08-21,fresh,True
00-0039893,Brian Thomas,WR,4432773,106.14,37,2026-08-21,fresh,True
TAT143045,Carnell Tate,WR,4871023,75.21,27,2026-08-21,fresh,True
00-0036358,CeeDee Lamb,WR,4241389,10.68,5,2026-08-21,fresh,True
00-0040705,Chimere Dike,WR,4431268,170.25,65,2026-08-21,fresh,True
00-0033921,Chris Godwin,WR,3116165,147.26,53,2026-08-21,fresh,True
00-0037239,Chris Olave,WR,4361370,34.28,12,2026-08-21,fresh,True
00-0038124,Christian Watson,WR,4248528,100.77,36,2026-08-21,fresh,True
00-0034348,Courtland Sutton,WR,3128429,83.83,29,2026-08-21,fresh,True
00-0034827,DJ Moore,WR,3915416,66.56,24,2026-08-21,fresh,True
00-0035640,DK Metcalf,WR,4047650,87.47,30,2026-08-21,fresh,True
00-0031381,Davante Adams,WR,16800,47.31,19,2026-08-21,fresh,True
00-0036912,DeVonta Smith,WR,4241478,39.66,15,2026-08-21,fresh,True
00-0035719,Deebo Samuel,WR,3126486,136.45,50,2026-08-21,fresh,True
BOS677861,Denzel Boston,WR,4832800,166.54,60,2026-08-21,fresh,True
00-0037238,Drake London,WR,4426502,18.8,7,2026-08-21,fresh,True
00-0040129,Emeka Egbuka,WR,4567750,45.43,18,2026-08-21,fresh,True
00-0037740,Garrett Wilson,WR,4569618,36.2,14,2026-08-21,fresh,True
00-0037247,George Pickens,WR,4426354,29.74,11,2026-08-21,fresh,True
00-0036900,Ja'Marr Chase,WR,4362628,4.12,1,2026-08-21,fresh,True
00-0034960,Jakobi Meyers,WR,3916433,114.97,40,2026-08-21,fresh,True
00-0039491,Jalen Coker,WR,4695883,161.08,57,2026-08-21,fresh,True
00-0039855,Jalen McMillan,WR,4430834,168.1,61,2026-08-21,fresh,True
00-0037240,Jameson Williams,WR,4426388,68.5,25,2026-08-21,fresh,True
00-0036259,Jauan Jennings,WR,3886598,170.53,67,2026-08-21,fresh,True
00-0038543,Jaxon Smith-Njigba,WR,4430878,5.84,3,2026-08-21,fresh,True
00-0040130,Jayden Higgins,WR,4877706,161.5,58,2026-08-21,fresh,True
00-0039146,Jayden Reed,WR,4362249,135.37,49,2026-08-21,fresh,True
00-0036613,Jaylen Waddle,WR,4372016,60.08,22,2026-08-21,fresh,True
00-0036407,Jerry Jeudy,WR,4241463,164.42,59,2026-08-21,fresh,True
00-0038994,Jordan Addison,WR,4429205,120.73,43,2026-08-21,fresh,True
TYS405541,Jordyn Tyson,WR,4880281,123.7,45,2026-08-21,fresh,True
00-0038997,Josh Downs,WR,4688813,123.58,44,2026-08-21,fresh,True
00-0036322,Justin Jefferson,WR,4262921,12.17,6,2026-08-21,fresh,True
CON046719,KC Concepcion,WR,4870653,149.8,54,2026-08-21,fresh,True
00-0038608,Kayshon Boutte,WR,4429022,170.73,69,2026-08-21,fresh,True
00-0037261,Khalil Shakir,WR,4373678,125.73,46,2026-08-21,fresh,True
00-0039915,Ladd McConkey,WR,4612826,52.48,20,2026-08-21,fresh,True
00-0040735,Luther Burden,WR,4685278,77.3,28,2026-08-21,fresh,True
LEM694125,Makai Lemon,WR,4870795,139.92,51,2026-08-21,fresh,True
00-0039337,Malik Nabers,WR,4595348,35.8,13,2026-08-21,fresh,True
00-0039849,Marvin Harrison,WR,4432708,90.3,31,2026-08-21,fresh,True
00-0040667,Matthew Golden,WR,4701936,106.67,39,2026-08-21,fresh,True
00-0036252,Michael Pittman,WR,4035687,90.92,32,2026-08-21,fresh,True
00-0038559,Michael Wilson,WR,4360761,106.48,38,2026-08-21,fresh,True
00-0031408,Mike Evans,WR,16737,94.53,33,2026-08-21,fresh,True
00-0036554,Nico Collins,WR,4258173,27.59,10,2026-08-21,fresh,True
COO816508,Omar Cooper,WR,4723820,170.95,71,2026-08-21,fresh,True
00-0038606,Parker Washington,WR,4432620,98.99,34,2026-08-21,fresh,True
00-0040134,Pat Bryant,WR,4600981,170.63,68,2026-08-21,fresh,True
00-0039075,Puka Nacua,WR,4426515,4.68,2,2026-08-21,fresh,True
00-0038544,Quentin Johnston,WR,4429025,140.87,52,2026-08-21,fresh,True
00-0039067,Rashee Rice,WR,4428331,22.3,8,2026-08-21,fresh,True
00-0037545,Rashid Shaheed,WR,4032473,158.36,56,2026-08-21,fresh,True
00-0039919,Rome Odunze,WR,4431299,68.71,26,2026-08-21,fresh,True
00-0037816,Romeo Doubs,WR,4361432,153.04,55,2026-08-21,fresh,True
00-0031588,Stefon Diggs,WR,2976212,130.6,47,2026-08-21,fresh,True
00-0036410,Tee Higgins,WR,4239993,57.69,21,2026-08-21,fresh,True
00-0035659,Terry McLaurin,WR,3121422,61.65,23,2026-08-21,fresh,True
00-0040124,Tetairoa McMillan,WR,4685472,42.44,17,2026-08-21,fresh,True
00-0040718,Travis Hunter,WR,4685415,119.41,42,2026-08-21,fresh,True
00-0040727,Tre' Harris,WR,4686612,170.99,72,2026-08-21,fresh,True
00-0039868,Troy Franklin,WR,4431280,170.5,66,2026-08-21,fresh,True
00-0033040,Tyreek Hill,WR,3116406,169.78,62,2026-08-21,fresh,True
00-0038117,Wan'Dale Robinson,WR,4569587,117.46,41,2026-08-21,fresh,True
00-0039894,Xavier Worthy,WR,4683062,134.67,48,2026-08-21,fresh,True
00-0039064,Zay Flowers,WR,4429615,41.89,16,2026-08-21,fresh,True
