player_id,player,position,espn_id
00-0037740,Garrett Wilson,WR,4569618
00-0039067,Rashee Rice,WR,4428331
00-0038544,Quentin Johnston,WR,4429025
00-0035640,DK Metcalf,WR,4047650
00-0038117,Wan'Dale Robinson,WR,4569587
00-0039849,Marvin Harrison,WR,4432708
00-0039919,Rome Odunze,WR,4431299
00-0037664,Alec Pierce,WR,4360078
00-0031381,Davante Adams,WR,16800
00-0040735,Luther Burden,WR,4685278
00-0036613,Jaylen Waddle,WR,4372016
00-0034827,DJ Moore,WR,3915416
00-0038559,Michael Wilson,WR,4360761
00-0035659,Terry McLaurin,WR,3121422
00-0034348,Courtland Sutton,WR,3128429
00-0038994,Jordan Addison,WR,4429205
00-0034960,Jakobi Meyers,WR,3916433
00-0031408,Mike Evans,WR,16737
00-0038124,Christian Watson,WR,4248528
00-0038606,Parker Washington,WR,4432620
00-0036252,Michael Pittman,WR,4035687
00-0040130,Jayden Higgins,WR,4877706
00-0039894,Xavier Worthy,WR,4683062
00-0037816,Romeo Doubs,WR,4361432
00-0037261,Khalil Shakir,WR,4373678
00-0038997,Josh Downs,WR,4688813
00-0039146,Jayden Reed,WR,4362249
00-0033921,Chris Godwin,WR,3116165
00-0040667,Matthew Golden,WR,4701936
00-0035719,Deebo Samuel,WR,3126486
00-0037545,Rashid Shaheed,WR,4032473
TAT143045,Carnell Tate,WR,4871023
00-0039491,Jalen Coker,WR,4695883
LEM694125,Makai Lemon,WR,4870795
00-0036407,Jerry Jeudy,WR,4241463
00-0036259,Jauan Jennings,WR,3886598
00-0039868,Troy Franklin,WR,4431280
CON046719,KC Concepcion,WR,4870653
TYS405541,Jordyn Tyson,WR,4880281
COO816508,Omar Cooper,WR,4723820
00-0040727,Tre' Harris,WR,4686612
00-0039855,Jalen McMillan,WR,4430834
00-0040705,Chimere Dike,WR,4431268
BOS677861,Denzel Boston,WR,4832800
00-0031588,Stefon Diggs,WR,2976212
00-0040134,Pat Bryant,WR,4600981
00-0039890,Adonai Mitchell,WR,4597500
00-0040718,Travis Hunter,WR,4685415
00-0038608,Kayshon Boutte,WR,4429022
WIL143106,Antonio Williams,WR,5081432
00-0033040,Tyreek Hill,WR,3116406
00-0036261,Brandon Aiyuk,WR,4360438
