player_id,player,position,yahoo_id,yahoo_adp,yahoo_pos_rank,refreshed_at,adp_source,adp_matched
00-0036261,Brandon Aiyuk,WR,32695,,,2026-09-01,unmatched,False
00-0039893,Brian Thomas,WR,40883,84.2,33,2026-09-01,fresh,True
00-0034837,Calvin Ridley,WR,30996,,,2026-09-01,unmatched,False
TAT143045,Carnell Tate,WR,42626,81.1,32,2026-09-01,fresh,True
00-0036358,CeeDee Lamb,WR,32687,10.9,5,2026-09-01,fresh,True
00-0040705,Chimere Dike,WR,41903,,,2026-09-01,unmatched,False
00-0033921,Chris Godwin,WR,30197,96.3,36,2026-09-01,fresh,True
00-0037239,Chris Olave,WR,33966,31.8,13,2026-09-01,fresh,True
00-0038124,Christian Watson,WR,33989,67.8,28,2026-09-01,fresh,True
00-0034348,Courtland Sutton,WR,31010,105.1,40,2026-09-01,fresh,True
00-0034827,DJ Moore,WR,30994,60.0,25,2026-09-01,fresh,True
00-0035640,DK Metcalf,WR,31896,85.9,34,2026-09-01,fresh,True
00-0031381,Davante Adams,WR,27581,56.0,23,2026-09-01,fresh,True
00-0036912,DeVonta Smith,WR,33398,29.5,11,2026-09-01,fresh,True
00-0035719,Deebo Samuel,WR,31868,127.3,52,2026-09-01,fresh,True
BOS677861,Denzel Boston,WR,42661,131.5,58,2026-09-01,fresh,True
00-0037238,Drake London,WR,33963,19.8,7,2026-09-01,fresh,True
00-0040129,Emeka Egbuka,WR,41804,45.0,20,2026-09-01,fresh,True
00-0037740,Garrett Wilson,WR,33965,48.7,21,2026-09-01,fresh,True
00-0037247,George Pickens,WR,34007,22.5,9,2026-09-01,fresh,True
LAN311008,Ja'Kobi Lane,WR,,126.6,51,2026-09-01,fresh,True
00-0036900,Ja'Marr Chase,WR,33393,3.5,1,2026-09-01,fresh,True
00-0034960,Jakobi Meyers,WR,32231,130.0,55,2026-09-01,fresh,True
00-0039491,Jalen Coker,WR,41293,133.2,60,2026-09-01,fresh,True
00-0039855,Jalen McMillan,WR,40954,,,2026-09-01,unmatched,False
00-0037240,Jameson Williams,WR,33967,65.8,26,2026-09-01,fresh,True
00-0036259,Jauan Jennings,WR,32887,126.1,49,2026-09-01,fresh,True
00-0038543,Jaxon Smith-Njigba,WR,40041,7.1,3,2026-09-01,fresh,True
00-0039146,Jayden Reed,WR,40063,117.5,45,2026-09-01,fresh,True
00-0036613,Jaylen Waddle,WR,33394,40.5,17,2026-09-01,fresh,True
00-0036407,Jerry Jeudy,WR,32685,,,2026-09-01,unmatched,False
00-0038994,Jordan Addison,WR,40042,115.9,44,2026-09-01,fresh,True
TYS405541,Jordyn Tyson,WR,42630,98.8,37,2026-09-01,fresh,True
